INVENT_ID,UTM_E,UTM_N,TAMBON,DISTRICT,PROVINCE,YEAR_DATA,REMARK,REMARK_2,LONGITUDE,LATITUDE
25894,718384,2148361,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,101.07979626072863,19.41767111836529
25895,691460,2147649,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,100.82341519789999,19.413994912926125
25896,691397,2147657,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,100.82281623387594,19.41407319507939
25897,691889,2147379,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,100.82747207911137,19.411515044421204
25898,691748,2147458,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,100.82613772997179,19.412242125533748
25899,694484,2146618,ทุ่งช้าง,ทุ่งช้าง,น่าน,0, , ,100.8520984082207,19.404391047526076
25903,679353,2137616,นาไร่หลวง,สองแคว,น่าน,0, , ,100.7072064137395,19.32448462978461
25904,684355,2134296,นาไร่หลวง,สองแคว,น่าน,0, , ,100.7544825807178,19.294042796886135
25905,679254,2136659,นาไร่หลวง,สองแคว,น่าน,0, , ,100.70617462987185,19.315848538757912
25906,676175,2144320,นาไร่หลวง,สองแคว,น่าน,0, , ,100.67758493753996,19.385325482249264
25907,672655,2143010,นาไร่หลวง,สองแคว,น่าน,0, , ,100.64395817009279,19.373797530243788
25908,675206,2141961,นาไร่หลวง,สองแคว,น่าน,0, , ,100.66814382391858,19.364100395405735
25909,675606,2141348,นาไร่หลวง,สองแคว,น่าน,0, , ,100.67189457773003,19.358527951102257
25910,675807,2141338,นาไร่หลวง,สองแคว,น่าน,0, , ,100.67380671263501,19.358420038707056
25911,676696,2141472,นาไร่หลวง,สองแคว,น่าน,0, , ,100.68228033096241,19.359552531409236
25912,672982,2140127,นาไร่หลวง,สองแคว,น่าน,0, , ,100.64680923166065,19.34772557460014
25913,682788,2138840,นาไร่หลวง,สองแคว,น่าน,0, , ,100.74000914261484,19.335232259127597
25914,682874,2138890,นาไร่หลวง,สองแคว,น่าน,0, , ,100.74083230738357,19.33567610175512
25915,681992,2139832,นาไร่หลวง,สองแคว,น่าน,0, , ,100.73252894137117,19.34426535678089
25916,682464,2139350,นาไร่หลวง,สองแคว,น่าน,0, , ,100.73697468635261,19.33986859209021
25917,682776,2139635,นาไร่หลวง,สองแคว,น่าน,0, , ,100.73997105438337,19.342414714530776
25918,682623,2139978,นาไร่หลวง,สองแคว,น่าน,0, , ,100.7385478580538,19.34552699016222
25919,682309,2139785,นาไร่หลวง,สองแคว,น่าน,0, , ,100.73554120310015,19.343812081741575
